estimator_group;estimator;scenario;dataset;total_accuracy;bot_precision;bot_recall;bot_f1-score;bot_support;nonbot_precision;nonbot_recall;nonbot_f1-score;nonbot_support;nonbot_occurrences_in_training;bot_occurrences_in_training;true_negative;false_positive;false_negative;true_positive
Baseline;SVC;ISOT_metrics;anticipation;0.88;1.0;0.5714285714285714;0.7272727272727273;7;0.8571428571428571;1.0;0.923076923076923;18;18;7;18;0;3;4
Baseline;SVC;ISOT_metrics;testing;0.9076923076923077;1.0;0.5;0.6666666666666666;24;0.8983050847457628;1.0;0.9464285714285715;106;106;24;106;0;12;12
Baseline;Naive  Bayes;ISOT_metrics;anticipation;0.72;0.5;1.0;0.6666666666666666;7;1.0;0.6111111111111112;0.7586206896551725;18;18;7;11;7;0;7
Baseline;Naive  Bayes;ISOT_metrics;testing;0.7384615384615385;0.4;0.8333333333333334;0.5405405405405406;24;0.95;0.7169811320754716;0.8172043010752688;106;106;24;76;30;4;20
Baseline;MLP;ISOT_metrics;anticipation;1.0;1.0;1.0;1.0;7;1.0;1.0;1.0;18;18;7;18;0;0;7
Baseline;MLP;ISOT_metrics;testing;0.9538461538461539;0.9090909090909091;0.8333333333333334;0.8695652173913043;24;0.9629629629629629;0.9811320754716981;0.9719626168224299;106;106;24;104;2;4;20
Baseline;SVC;CTU_metrics;anticipation;0.9230769230769231;0.5;1.0;0.6666666666666666;1;1.0;0.9166666666666666;0.9565217391304348;12;12;1;11;1;0;1
Baseline;SVC;CTU_metrics;testing;0.7391304347826086;0.6896551724137931;1.0;0.8163265306122449;40;1.0;0.3793103448275862;0.5499999999999999;29;29;40;11;18;0;40
Baseline;Naive  Bayes;CTU_metrics;anticipation;0.9230769230769231;0.0;0.0;0.0;1;0.9230769230769231;1.0;0.9600000000000001;12;12;1;12;0;1;0
Baseline;Naive  Bayes;CTU_metrics;testing;1.0;1.0;1.0;1.0;40;1.0;1.0;1.0;29;29;40;29;0;0;40
Baseline;MLP;CTU_metrics;anticipation;1.0;1.0;1.0;1.0;1;1.0;1.0;1.0;12;12;1;12;0;0;1
Baseline;MLP;CTU_metrics;testing;0.9710144927536232;0.9523809523809523;1.0;0.975609756097561;40;1.0;0.9310344827586207;0.9642857142857143;29;29;40;27;2;0;40
Baseline;SVC;IoT_Dataset_HTTP_DDoS;anticipation;0.7713498622589532;0.5439560439560439;1.0;0.704626334519573;198;1.0;0.6856060606060606;0.8134831460674157;528;528;198;362;166;0;198
Baseline;SVC;IoT_Dataset_HTTP_DDoS;testing;0.31723750701852893;0.26280691118520766;1.0;0.4162265962554009;867;1.0;0.09758812615955473;0.17782285327924272;2695;2695;867;263;2432;0;867
Baseline;Naive  Bayes;IoT_Dataset_HTTP_DDoS;anticipation;0.640495867768595;0.4198473282442748;0.8333333333333334;0.5583756345177665;198;0.9009009009009009;0.5681818181818182;0.6968641114982579;528;528;198;300;228;33;165
Baseline;Naive  Bayes;IoT_Dataset_HTTP_DDoS;testing;0.6263335204941044;0.38139059304703476;0.8604382929642446;0.528515763372299;867;0.9246575342465754;0.5510204081632653;0.690537084398977;2695;2695;867;1485;1210;121;746
Baseline;MLP;IoT_Dataset_HTTP_DDoS;anticipation;0.9848484848484849;1.0;0.9444444444444444;0.9714285714285714;198;0.9795918367346939;1.0;0.9896907216494846;528;528;198;528;0;11;187
Baseline;MLP;IoT_Dataset_HTTP_DDoS;testing;0.7055025266704099;0.438179347826087;0.7439446366782007;0.5515177426250535;867;0.8937799043062201;0.6931354359925789;0.780773249738767;2695;2695;867;1868;827;222;645
Baseline;SVC;CICDOS_metrics;anticipation;0.9787234042553191;0.0;0.0;0.0;1;0.9787234042553191;1.0;0.989247311827957;46;46;1;46;0;1;0
Baseline;SVC;CICDOS_metrics;testing;0.9875389408099688;0.0;0.0;0.0;4;0.9875389408099688;1.0;0.9937304075235109;317;317;4;317;0;4;0
Baseline;Naive  Bayes;CICDOS_metrics;anticipation;0.9787234042553191;0.5;1.0;0.6666666666666666;1;1.0;0.9782608695652174;0.989010989010989;46;46;1;45;1;0;1
Baseline;Naive  Bayes;CICDOS_metrics;testing;1.0;1.0;1.0;1.0;4;1.0;1.0;1.0;317;317;4;317;0;0;4
Baseline;MLP;CICDOS_metrics;anticipation;0.9361702127659575;0.25;1.0;0.4;1;1.0;0.9347826086956522;0.9662921348314606;46;46;1;43;3;0;1
Baseline;MLP;CICDOS_metrics;testing;0.9906542056074766;0.5714285714285714;1.0;0.7272727272727273;4;1.0;0.9905362776025236;0.9952456418383517;317;317;4;314;3;0;4
